#name,"description", link
Ethereum Homestead Documentation, "This documentation is the result of an ongoing collaborative effort by volunteers from the Ethereum Community. Although it has not been authorized by the The Ethereum Foundation, we hope you will find it useful. We Welcome new Contrubtion", http://www.ethdocs.org/en/latest/index.html
Solidity, "Solidity is a contract-oriented, high-level language for implementing smart contracts. It was influenced by C++, Python and Javascript and is designed to target the Ethereum Virtual Machine", https://solidity.readthedocs.io/en/v0.4.23/
Ethereum Org, "Ethereum Foundation main website. Learn what Ethereum is and how it works. There is also video and training material on the website.", https://www.ethereum.org
Consensus Academy, "We have curated a selection of the best resources on Ethereum and blockchain to get you up to speed.", https://consensys.net/academy/resources/
Blockchain at Berkley - Resources, "Resources and presentations that where created by Berkley Students and faculty.", https://blockchain.berkeley.edu/resources/ 
Blockchain at Berkley - Workshops, "Workshops with a wide variety of Blockchain education.", https://blockchain.berkeley.edu/workshops/ 
Bitcoin Developer Guide, "Find detailed information about the Bitcoin protocol and related specification", https://bitcoin.org/en/developer-guide
Blockchain At Berkley, "Presentation on white papers for different blockchain projects.", https://blockchain.berkeley.edu/whitepapercircle/
Blockgeeks how to, "Different do it yourself guides to get you started on programming your own Blockchain project", https://blockgeeks.com/guides/
BM - Blockchain for Dummies, "Blockchain Technology presents opportunities for disruptive innovation. It enables global business transactions with less friction and more trust.", https://www.ibm.com/blockchain/what-is-blockchain.html?S_PKG=CoG&cm_mmc=Search_Google-_-Blockchain_Blockchain-_-WW_NA-_-+Blockchain_Broad_CoG&cm_mmca1=000020YK&cm_mmca2=10005804&cm_mmca7=9031942&cm_mmca8=aud-365774027721:kwd-305134168301&cm_mmca9=af72a335-a407-4819-a78f-b185d2733864&cm_mmca10=218843303200&cm_mmca11=b&mkwid=af72a335-a407-4819-a78f-b185d2733864%7C1298%7C243&cvosrc=ppc.google.%2Bblockchain&cvo_campaign=000020YK&cvo_crid=218843303200&Matchtype=b
Bitcoin GitHub, "Start to contribute by going to git hub and tackling some of the projects!", https://github.com/bitcoin/bitcoin 
Bitcoin and Cryptocurrency Technologies, "Princenton recorded presentations on the Basics of Blockchain",https://www.youtube.com/channel/UCNcSSleedtfyDuhBvOQzFzQ
