#name, link
Princeton:Lecture 1 — Intro to Crypto and Cryptocurrencies,

Princeton:Lecture 1 — Intro to Crypto and Cryptocurrencies,https://www.youtube.com/watch?v=fOMVZXLjKYo
Princeton:Lecture 2 — How Bitcoin Achieves Decentralization,https://www.youtube.com/watch?v=q5GWwTgRIT4
Princeton:Lecture 3 — Mechanics of Bitcoin,https://www.youtube.com/watch?v=t3hJsFpPmXs
Princeton:Lecture 4 — How to Store and Use Bitcoins,https://www.youtube.com/watch?v=NKqHXoYZvMg
Princeton:Lecture 5 — Bitcoin Mining,https://www.youtube.com/watch?v=jXerV3f5jN8
Princeton:Lecture 6 — Bitcoin and Anonymity,https://www.youtube.com/watch?v=glyQy_e5LmM
Princeton:Lecture 7 — Community, Politics, and Regulation,https://www.youtube.com/watch?v=IRbgZUGHn9g
Princeton:Lecture 8 — Alternative Mining Puzzles,https://www.youtube.com/watch?v=TipGy2bOVL4
Princeton:Lecture 9 — Bitcoin as a Platform,https://www.youtube.com/watch?v=aM3OP4gazWw
Princeton:Lecture 10 — Altcoins and the Cryptocurrency Ecosystem,https://www.youtube.com/watch?v=l-3kOuF0dts
Princeton:Lecture 11 — The future of Bitcoin?,https://www.youtube.com/watch?v=YG7l0XPtzD4
Princeton:Lecture 12 — History of Cryptocurrencies [Bonus lecture],https://www.youtube.com/watch?v=1VYs_zZsorU
